kernel_id,split,project,function,domain,probe_sizes,largest_probe_ratio,simple_prediction,target_size,target_seed,expected_statement_digest
P01_SCIPY_SQRTM,primary,scipy,scipy.linalg.sqrtm,numerical_linear_algebra,16|24|32,2.0999717171044971,FAIL,64,2012639844,cfc92fc8524c6ed88aa24aba2059c3e2ecc9cadc6e374d394a6340bf66e444d8
P02_SCIPY_SYLVESTER,primary,scipy,scipy.linalg.solve_sylvester,numerical_linear_algebra,16|24|32,5.326194161477269,FAIL,64,997757765,cf3306cce12811cbc7c0a8fcefc3b18fd21270e4c477fda55a1dba8b4be64546
P03_SCIPY_LYAPUNOV,primary,scipy,scipy.linalg.solve_continuous_lyapunov,control_and_dynamical_systems,16|24|32,2.7679244436468053,FAIL,64,2084161973,05135c879adb3b2989ae8064cc29ecfa3f4c858286281057d7ea354827616710
P04_SCIPY_POLAR,primary,scipy,scipy.linalg.polar,numerical_linear_algebra,16|24|32,1.4609979382434797,FAIL,64,1924075677,7d292c454f1b02b14d82b368e05a895a4f8d5aad6b3f3280a8f0dd8f68f6926b
P05_SCIPY_SCHUR,primary,scipy,scipy.linalg.schur,numerical_linear_algebra,16|24|32,2.1013754457463065,FAIL,64,1560726209,c4d5a0ac9f0d98c45c179a7bb0135a6e9ff76dde08765005d6f3b1a1187ca4d3
P06_SCIPY_LINPROG,primary,scipy,scipy.optimize.linprog,optimization,40|60|80,22.6431639012836,PASS,160,1020626081,5b97583536c3302384142cf17cdbf6bac28a5442eda65c5ec5bba6f4c1b46724
P07_SCIPY_NNLS,primary,scipy,scipy.optimize.nnls,optimization,80|120|160,2.1357660956549798,FAIL,320,1080938573,ef7e0ed2e434212160574fec69621c385ed06b4ca235fa62aef597700bb826d7
P08_NETWORKX_ISOMORPHISM,primary,networkx,networkx.algorithms.isomorphism.GraphMatcher.is_isomorphic,graph_algorithms,20|30|40,12.791098063435394,PASS,80,725281712,1585aa4c2f07e861fffa9ecade0ea6d366b3ba397cb35bd08aa001f3339a36e1
P09_NETWORKX_PAGERANK,primary,networkx,networkx.pagerank,graph_algorithms,300|600|1200,1.714482524260345,FAIL,6000,1541582071,79673f3b04b47a6f61ddc273fda99fdb85a40b73621ed8adcd8e9056dd722203
P10_NETWORKX_TOPOLOGICAL,primary,networkx,networkx.topological_sort,graph_algorithms,2000|4000|8000,3.6336974700269025,FAIL,80000,1847712276,5544075cab0fd8a3a30f3be7fec63a59eb419d726e17d27c463acd817b781955
P11_NETWORKX_EULER,primary,networkx,networkx.eulerian_circuit,graph_algorithms,1000|2000|4000,2.2394260009448814,FAIL,40000,785768626,684d78d077d46acba8f8a82c43d47776b6b9a5f973656a3e8d7ab1a80e8c4ce1
P12_NETWORKX_NODE_CONNECTIVITY,primary,networkx,networkx.minimum_node_cut,network_reliability,18|24|30,23.119014556306716,PASS,60,870350231,494c714e8de74fa2799851021565e92e6c2578262962be8fa0f4d469c6ad3c42
P13_SYMPY_FACTORINT,primary,sympy,sympy.factorint,symbolic_computation,20|24|28,0.96075069594233353,FAIL,40,1984710989,e103e34b60089af882402ef8ecc48b988b557c9c23b37b301b172474b12d0613
P14_SYMPY_INTEGRATE,primary,sympy,sympy.integrate,symbolic_computation,8|12|16,6.6233386976615183,FAIL,32,1772518344,f2b50fd8ff66857b6455b9c24cc312765e3c4d3ea914f7c5f850453e0110d1f9
P15_SYMPY_SOLVE,primary,sympy,sympy.solve,symbolic_computation,8|12|16,71.610113975287604,PASS,32,1991106618,85cf77c3ffa94d306af08483041ad050fc47c14ba40efbb8dda5255f3af26b1e
P16_SYMPY_GROEBNER,primary,sympy,sympy.groebner,symbolic_computation,2|3|4,0.66735492382244666,FAIL,6,1177437652,4f96940e8bba44cbcb8539d659df5dcea3ba528a7362e9f943ed30a1e079b26e
P17_SYMPY_SIMPLIFY,primary,sympy,sympy.simplify,symbolic_computation,20|40|80,2.014328934223562,FAIL,800,872122526,6eadf3984609fcf86ecd290d1f9bfd0050d351209fbd7c8ac6b42cb98fe7a3eb
P18_SKIMAGE_PHASE,primary,scikit-image,skimage.registration.phase_cross_correlation,image_processing,64|96|128,5.0143303246781024,FAIL,512,1637422857,012624087efbf00d1d7d0c95c3d5b7df2c6d3af79e7dce3eb4fa35e933ebb851
P19_SKIMAGE_MARCHING,primary,scikit-image,skimage.measure.marching_cubes,simulation_postprocessing,24|32|40,4.756074540705459,FAIL,80,1642757686,0c9b78f7c94d78c5765468df92336a530e8a48a4b38d9dfe3af8f3d162ffd244
P20_SKIMAGE_RADON,primary,scikit-image,skimage.transform.radon,image_processing,64|96|128,21.941922350575137,PASS,512,1850072404,4cc4007c180cf3c045adec381477e735ece44b67574d089c99517dd93cbbd730
P21_SKIMAGE_EQUALIZE,primary,scikit-image,skimage.exposure.equalize_hist,image_processing,256|384|512,10.742692656761646,PASS,2048,1399715060,1765cbac513ca9e2f992c52a95a560ce3c93f9fcffe7b5bed14fd0b1218fb099
P22_SKLEARN_NMF,primary,scikit-learn,sklearn.decomposition.NMF.fit_transform,machine_learning_evaluation,100|150|200,65.734600190028502,PASS,600,771218391,47f9486963f5e9781fbead0fc0378ccd0c635f7374190eeec80e8ab33e99efb2
P23_SKLEARN_ISOMAP,primary,scikit-learn,sklearn.manifold.Isomap.fit_transform,machine_learning_evaluation,80|120|160,4.2166413282212094,FAIL,400,1536630662,87e00b0529da0b2d03b898670e56b0639629041ffbbc4f645157352fc1b996df
P24_SKLEARN_LEDOIT,primary,scikit-learn,sklearn.covariance.LedoitWolf.fit,statistical_inference,200|400|800,5.1963326305767135,FAIL,8000,1426700491,e25f2767af72ba94727414aec48443a3b61c7caf9a3e0d385a32835c738cae4e
P25_NUMPY_RFFT,primary,numpy,numpy.fft.rfft,signal_processing,4096|8192|16384,0.74260376509194925,FAIL,131072,1362693251,ca260508c58f460bd1b5aaef6a8dc5f590ee5384d2d5058edadcaa90c4cf9c75
P26_NUMPY_CHEBFIT,primary,numpy,numpy.polynomial.chebyshev.chebfit,numerical_approximation,200|400|800,2.4653768981713711,FAIL,8000,1936676419,5a7258cffc8801fd2855df65ab181fa5be1c37e859607fd81116b55d6f5dff82
P27_PANDAS_MERGE_ASOF,primary,pandas,pandas.merge_asof,time_series_analysis,5000|10000|20000,1.6334882345666202,FAIL,200000,1646862830,809ac8e44f0138aea46c4571da76ed6a49cc5111757cc0418959919ffddbc2fd
P28_STATSMODELS_LJUNGBOX,primary,statsmodels,statsmodels.stats.diagnostic.acorr_ljungbox,statistical_inference,2000|4000|8000,30.595268274021599,PASS,80000,1773833180,a47d73f7831cd6d4c79d331e73291b97c3c27ccaaa6fa78b37193b9dc6fc0f0e
P29_BIOPYTHON_TRANSLATE,primary,biopython,Bio.Seq.Seq.translate,bioinformatics,5000|10000|20000,2.3619959852074013,FAIL,200000,1259358043,e185caca0f1ff97ef393e91b5b83eef0454ad7468d636bdd0ed37843eff00795
P30_LXML_SCHEMA,primary,lxml,lxml.etree.XMLSchema.validate,scientific_data_formats,1000|2000|4000,0.95576277837642032,FAIL,40000,1833840887,094411a8ce2a2c9f110c0addcc53aa12b99823f34633697795a3cdba3ea0c46f
P31_PILLOW_PNG,primary,Pillow,PIL.Image.save/open,scientific_data_formats,128|192|256,6.3330557284498248,FAIL,1024,1712796315,ba48f216248597e831ecd9aca81679e26050bd7d7e074d9492a915b24616466c
P32_MPMATH_QUAD,primary,mpmath,mpmath.quad,numerical_integration,10|20|40,48.605528178754007,PASS,400,2079366355,1c9a2d7c38ea500538ed96f7b0eb8db72de8776336f0c9e69ec3ca824017d3b5
R01_TIFFFILE_ROUNDTRIP,reserve,tifffile,tifffile.imwrite/imread,scientific_data_formats,128|256|512,0.98907128740580252,FAIL,2048,1400504419,24a456e7e06441b4ad92bd6239ebfa1e8d4e19d189e7c7e7dd95a6f0b4631329
R02_SOUNDFILE_ROUNDTRIP,reserve,soundfile,soundfile.write/read,signal_processing,8000|16000|32000,1.3621292814267403,FAIL,320000,542704885,ed7d8723a5dfd4677e0ef9b34835a41dda3a2f9deaef2f5b1a502102e4c4bcc5
R03_RDKIT_MOLWT,reserve,rdkit,rdkit.Chem.Descriptors.MolWt,computational_chemistry,20|40|80,0.76372253600036344,FAIL,800,422661157,55e5f61289d4b973d6606739e747b3482759560ea7bc567f29c92073fce46e09
R04_SHAPELY_MAKE_VALID,reserve,shapely,shapely.make_valid,computational_geometry,50|100|200,9.3796521541434572,FAIL,2000,563003461,532f3e2876b9308aef10d12fcc1c87eda425397130ded85edd4c3e150f509dc1
R05_RASTERIO_RASTERIZE,reserve,rasterio,rasterio.features.rasterize,geospatial_computation,128|256|512,1.4335451490292188,FAIL,2048,1374745980,5df9c9b1d259d7afff6a091f08928faeea74371c4da712acb3c82a6d20aafc83
R06_PYPROJ_GEOD,reserve,pyproj,pyproj.Geod.inv,geospatial_computation,1000|2000|4000,3.2694879708282447,FAIL,40000,511542734,9d86bf737f70bf555a57f346ffc9200fe76100dd23efbadaa64870e4025b3dee
R07_GEMMI_PDB,reserve,gemmi,gemmi.read_pdb_string,structural_biology,1000|2000|4000,5.5753623856736612,FAIL,40000,2126444248,af696b9f0a20caa4a9ec7f1045fee6ba13f9dc8bd03d7953dc46e54a770a3519
R08_XARRAY_INTERP,reserve,xarray,xarray.DataArray.interp,earth_data_numerics,1000|2000|4000,10.106127972163154,PASS,40000,1294159570,067e38028fa6c4c9e9c80cf2dba2f3f6d280ede4c6f54c449aafe929d54384ed
