workflow_id,external_project,source_digest,acceptance_rule,failure_action,fallback,kernel_ids
WF_NUMERIC_MATRIX_SQRT,scipy,785e4694596538d07ca03a83a1420eb8feba191bfc056c858abd11bce7b78bb8,frozen per-kernel DecisionPolicy,reject or invoke registered fallback,A5 independent audit/recomputation,P01_SCIPY_SQRTM
WF_NUMERIC_SYLVESTER,scipy,cc09d007846c741ec3e6de6f385f05eabfd69f6254436fe1104f86003b12fc59,frozen per-kernel DecisionPolicy,reject or invoke registered fallback,A5 independent audit/recomputation,P02_SCIPY_SYLVESTER
WF_CONTROL_LYAPUNOV,scipy,d9616ec8813f6a6ff9d6c968fa594d3f185a1cd873447f534448dba847f26aad,frozen per-kernel DecisionPolicy,reject or invoke registered fallback,A5 independent audit/recomputation,P03_SCIPY_LYAPUNOV
WF_OPT_LP_ACCEPTANCE,scipy,a659219313bf3a28a57b3c2b3c0148b84195546edac798f72672ebb0f36b44ef,frozen per-kernel DecisionPolicy,reject or invoke registered fallback,A5 independent audit/recomputation,P06_SCIPY_LINPROG
WF_OPT_NNLS_ACCEPTANCE,scipy,31ebef88a0577f5415660805070be8ffbb64d9d2d4554e57ac0baf70198295cd,frozen per-kernel DecisionPolicy,reject or invoke registered fallback,A5 independent audit/recomputation,P07_SCIPY_NNLS
WF_GRAPH_ISOMORPHISM_ACCEPTANCE,networkx,dd787ee2f1398202acc811909e56aeaff7727ba9182907f4a889a4e0559510de,frozen per-kernel DecisionPolicy,reject or invoke registered fallback,A5 independent audit/recomputation,P08_NETWORKX_ISOMORPHISM
WF_GRAPH_RANKING_RESIDUAL,networkx,f28a3c3aeafd3c204f5fe21341efd28557de0aba0ce980ae26dc10146e505c97,frozen per-kernel DecisionPolicy,reject or invoke registered fallback,A5 independent audit/recomputation,P09_NETWORKX_PAGERANK
WF_NETWORK_CONNECTIVITY_ACCEPTANCE,networkx,f9dabf444a700e33c5214410f046a3fe7c53a8ca0e02f036cf1ea9982bbc83b1,frozen per-kernel DecisionPolicy,reject or invoke registered fallback,A5 independent audit/recomputation,P12_NETWORKX_NODE_CONNECTIVITY
WF_SYMBOLIC_INTEGER_FACTOR_AUDIT,sympy,faf91747c1ca2999482b88f3c7056169d3239089732ed6f2b4c5b9587a989405,frozen per-kernel DecisionPolicy,reject or invoke registered fallback,A5 independent audit/recomputation,P13_SYMPY_FACTORINT
WF_SYMBOLIC_ANTIDERIVATIVE_AUDIT,sympy,4c38b8a1acc67a03e8a36a0cc7e44f81af744e3ca18d59fb4ea7748dcd419481,frozen per-kernel DecisionPolicy,reject or invoke registered fallback,A5 independent audit/recomputation,P14_SYMPY_INTEGRATE
WF_SYMBOLIC_ROOT_SET_AUDIT,sympy,3cda703146e22da26d06759c5d7db41c3ee7b6318414de77e5d5984dab1bc10d,frozen per-kernel DecisionPolicy,reject or invoke registered fallback,A5 independent audit/recomputation,P15_SYMPY_SOLVE
WF_IMAGE_REGISTRATION_ACCEPTANCE,scikit-image,c77d8ed6f800d81b8c60c9aac266c66d6c05c07e86bdfc9b776786529641ea90,frozen per-kernel DecisionPolicy,reject or invoke registered fallback,A5 independent audit/recomputation,P18_SKIMAGE_PHASE
WF_ISOSURFACE_ARTIFACT_ACCEPTANCE,scikit-image,1e521f219a39a844c5981a1a9985b6f5eba1a4d75d70500f15b4de596dc44581,frozen per-kernel DecisionPolicy,reject or invoke registered fallback,A5 independent audit/recomputation,P19_SKIMAGE_MARCHING
WF_MODEL_RECONSTRUCTION_ACCEPTANCE,scikit-learn,13deaf230e99fd28bc89756ea838690aa3ffdc3bdfad90bbbbb878d8770c502d,frozen per-kernel DecisionPolicy,reject or invoke registered fallback,A5 independent audit/recomputation,P22_SKLEARN_NMF
WF_TIMESERIES_RESIDUAL_DIAGNOSTIC,statsmodels,83dc197491859bd1de4802919e77f8f6dd20d71a92214f97f96f6aec865089ad,frozen per-kernel DecisionPolicy,reject or invoke registered fallback,A5 independent audit/recomputation,P28_STATSMODELS_LJUNGBOX
WF_SEQUENCE_TRANSLATION_ACCEPTANCE,biopython,6b1999090bbf3e00a511f13f9541bb9a7d0bed5dc7f68222ffd83f57b35675e4,frozen per-kernel DecisionPolicy,reject or invoke registered fallback,A5 independent audit/recomputation,P29_BIOPYTHON_TRANSLATE
WF_XML_SCHEMA_ACCEPTANCE,lxml,63db23f4d03bcece888a63a96918edc050a1d27a4d8b16637ef2e7be3fb8554f,frozen per-kernel DecisionPolicy,reject or invoke registered fallback,A5 independent audit/recomputation,P30_LXML_SCHEMA
WF_QUADRATURE_REFERENCE_ACCEPTANCE,mpmath,69ed5c4437c6ec40d08da09036f533da7a43f4f4c430232e5168263ae52c4c2e,frozen per-kernel DecisionPolicy,reject or invoke registered fallback,A5 independent audit/recomputation,P32_MPMATH_QUAD
